Sport,Players,Equipment,Playing_Area,Scoring_Method,Prescription
Chess,1,Chessboard,Indoor,Win by checkmate,Requires strong strategic thinking and patience.
Tennis,2,"Racket, Tennis Ball",Outdoor,Points-based,"Requires speed, agility, and endurance."
Table Tennis,2,"Table, Small Ball",Indoor,Points-based,Improves hand-eye coordination and reflexes.
Basketball,5,Basketball,Indoor/Outdoor,Points-based,"Needs teamwork, endurance, and jumping ability."
Football,11,Football,Outdoor,Goals-based,"Requires stamina, teamwork, and footwork skills."
Volleyball,6,Volleyball,Indoor/Outdoor,Points-based,Great for teamwork and upper body strength.
Boxing,1,Boxing Gloves,Indoor (Ring),Knockout or Points,"Demands strength, agility, and quick reflexes."
Badminton,2,"Badminton Rackets, Shuttlecock",Indoor,Points-based,Good for agility and hand-eye coordination.
Swimming,1,Pool,Water,Time-based,Requires strong breathing control and stamina.
Cricket,11,"Bat, Ball, Wickets",Outdoor,Runs-based,"Demands precision, teamwork, and patience."
Archery,1,"Bow, Arrows, Target",Outdoor,Points-based,"Requires focus, steady hands, and patience."
Cycling,1,Bicycle,Outdoor,Time-based,"Needs endurance, balance, and leg strength."
Golf,1,"Golf Club, Golf Ball",Outdoor,Points-based (lowest score wins),"Demands precision, patience, and technique."
Rugby,15,Rugby Ball,Outdoor,Points-based,"Requires high stamina, strength, and teamwork."
Baseball,9,"Bat, Ball, Gloves",Outdoor,Runs-based,"Needs batting accuracy, speed, and teamwork."
Karate,2,No Equipment,Indoor (Dojo),Points-based or Knockout,"Improves discipline, agility, and strength."
Wrestling,2,No Equipment,Indoor (Ring),Points-based or Pin,"Demands strength, balance, and endurance."
Darts,1,"Dartboard, Darts",Indoor,Points-based,Requires hand-eye coordination and focus.
Table Football,2,Foosball Table,Indoor,Points-based,Good for reflexes and strategic planning.
Surfing,1,Surfboard,Water,Style-based,"Requires balance, core strength, and wave reading."
Ice Hockey,6,"Hockey Stick, Puck",Indoor (Ice Rink),Points-based,"Demands speed, precision, and endurance."
Skiing,1,"Skis, Poles",Snow,Time-based,"Needs balance, leg strength, and control."
Snowboarding,1,Snowboard,Snow,Style or Time-based,"Requires balance, agility, and control."
Horse Racing,1,"Horse, Riding Gear",Outdoor,Time-based,"Needs balance, riding skill, and strategy."
Rowing,4,"Rowboat, Oars",Water,Time-based,"Requires endurance, teamwork, and arm strength."
Weightlifting,1,"Barbell, Weights",Indoor,Max Weight Lifted,"Requires strength, technique, and control."
Fencing,2,"Foil, Mask",Indoor,Points-based,"Requires agility, reflexes, and strategy."
Handball,7,Handball,Indoor,Points-based,"Needs agility, speed, and teamwork."
Track Running,1,Running Shoes,Outdoor,Time-based,"Demands endurance, speed, and stamina."
Mixed Martial Arts,2,Gloves and Protective Gear,Indoor (Octagon/Ring),Knockout or Points,"Requires strength, agility, and diverse fighting skills."
Gymnastics,1,"Balance Beam, Bars, Floor Mat",Indoor,Points-based,"Demands flexibility, balance, and body control."
Rock Climbing,1,"Climbing Gear, Ropes",Indoor/Outdoor,Height/Difficulty-based,"Needs upper body strength, balance, and mental focus."
Judo,2,Judo Gi,Indoor (Dojo),Points or Submission,"Requires balance, technique, and quick reactions."
Beach Volleyball,4,Volleyball,Outdoor (Sand),Points-based,"Demands agility, teamwork, and endurance on sand."
Water Polo,7,"Water Polo Ball, Pool",Water,Points-based,"Needs swimming ability, throwing skill, and teamwork."
Field Hockey,11,"Hockey Stick, Ball",Outdoor,Points-based,"Requires speed, stick control, and team coordination."
Ultimate Frisbee,7,Frisbee,Outdoor,Points-based,"Demands speed, throwing accuracy, and teamwork."
